id,Title,Content,SKU,"Product Type","Parent Product ID",URL,Filename
1751,"Delicate Beauty Wedding Cake","Delicate Beauty Wedding Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Delicate-Beauty-Wedding-Cake-scaled.jpg,Delicate-Beauty-Wedding-Cake-scaled.jpg
1752,"Delicate Fans Cake","Delicate Fans Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Delicate-Fans-Cake-scaled.jpg,Delicate-Fans-Cake-scaled.jpg
1753,"Double Cascading Royalty Wedding Cake","Double Cascading Royalty Wedding Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Double-Cascading-Royalty-Wedding-Cake-scaled.jpg,Double-Cascading-Royalty-Wedding-Cake-scaled.jpg
1755,"Drape & Mini Rosettes Wedding Cake","Drape & Mini Rosettes Wedding Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Drape-Mini-Rosettes-Wedding-Cake-scaled.jpg,Drape-Mini-Rosettes-Wedding-Cake-scaled.jpg
1756,"Draped Vintage Squares Wedding Cake","Draped Vintage Squares Wedding Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Draped-Vintage-Squares-Wedding-Cake-scaled.jpg,Draped-Vintage-Squares-Wedding-Cake-scaled.jpg
1757,"Dreamy Drapes Wedding Cake","Dreamy Drapes Wedding Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Dreamy-Drapes-Wedding-Cake-scaled.jpg,Dreamy-Drapes-Wedding-Cake-scaled.jpg
1758,"Encanto's Mirabel Birthday Cake","Encanto's Mirabel Birthday Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Encanto_s-Mirabel-Birthday-Cake-scaled.jpg,Encanto_s-Mirabel-Birthday-Cake-scaled.jpg
1759,"Farm Sheet Birthday Cake","Farm Sheet Birthday Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Farm-Sheet-Birthday-Cake-scaled.jpg,Farm-Sheet-Birthday-Cake-scaled.jpg
1760,"Filigree & Floral Wedding Cake","Filigree & Floral Wedding Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Filigree-Floral-Wedding-Cake-scaled.jpg,Filigree-Floral-Wedding-Cake-scaled.jpg
1761,"Gold & Black 50 Birthday Cake","Gold & Black 50 Birthday Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Gold-Black-50-Birthday-Cake-scaled.jpg,Gold-Black-50-Birthday-Cake-scaled.jpg
1762,"Gotta Go Fast Sonic Birthday Cake","Gotta Go Fast Sonic Birthday Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Gotta-Go-Fast-Sonic-Birthday-Cake-scaled.jpg,Gotta-Go-Fast-Sonic-Birthday-Cake-scaled.jpg
1763,"Grand Castle Wedding Cake","Grand Castle Wedding Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Grand-Castle-Wedding-Cake-scaled.jpg,Grand-Castle-Wedding-Cake-scaled.jpg
1764,"Grand Pearls Wedding Cake","Grand Pearls Wedding Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Grand-Pearls-Wedding-Cake-scaled.jpg,Grand-Pearls-Wedding-Cake-scaled.jpg
1765,"Greatest Gatsby Birthday Cake","Greatest Gatsby Birthday Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Greatest-Gatsby-Birthday-Cake-scaled.jpg,Greatest-Gatsby-Birthday-Cake-scaled.jpg
1766,"Green & White Drapes Birthday Cake","Green & White Drapes Birthday Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Green-White-Drapes-Birthday-Cake-scaled.jpg,Green-White-Drapes-Birthday-Cake-scaled.jpg
1767,"Hawaiian Dream Birthday Cake","Hawaiian Dream Birthday Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Hawaiian-Dream-Birthday-Cake-scaled.jpg,Hawaiian-Dream-Birthday-Cake-scaled.jpg
1768,"Holy Cannoli One Birthday Cake","Holy Cannoli One Birthday Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Holy-Cannoli-One-Birthday-Cake-scaled.jpg,Holy-Cannoli-One-Birthday-Cake-scaled.jpg
1769,"Interests Birthday Cake","Interests Birthday Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Interests-Birthday-Cake.jpg,Interests-Birthday-Cake.jpg
1770,"Intricate Swirls & Pearls Wedding Cake","Intricate Swirls & Pearls Wedding Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Intricate-Swirls-Pearls-Wedding-Cake-scaled.jpg,Intricate-Swirls-Pearls-Wedding-Cake-scaled.jpg
1771,"Ivory Shells Wedding Cake","Ivory Shells Wedding Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Ivory-Shells-Wedding-Cake-scaled.jpg,Ivory-Shells-Wedding-Cake-scaled.jpg
1772,"Ivory Simplicity Wedding Cake","Ivory Simplicity Wedding Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Ivory-Simplicity-scaled.jpg,Ivory-Simplicity-scaled.jpg
1773,"Kiss of Florals Pin Dots Wedding Cake","Kiss of Florals Pin Dots Wedding Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Kiss-of-Florals-Pin-Dots-Wedding-Cake-scaled.jpg,Kiss-of-Florals-Pin-Dots-Wedding-Cake-scaled.jpg
1774,"Peacock Florals Wedding Cake","Peacock Florals Wedding Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Peacock-Florals-Wedding-Cake-scaled.jpg,Peacock-Florals-Wedding-Cake-scaled.jpg
1775,"Pearly Religious Cake","Pearly Religious Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Pearly-Religious-Cake-scaled.jpg,Pearly-Religious-Cake-scaled.jpg
1776,"Pink Blooms Wedding Cake","Pink Blooms Wedding Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Pink-Blooms-Wedding-Cake-scaled.jpg,Pink-Blooms-Wedding-Cake-scaled.jpg
1777,"Pretty in Pink Vintage Heart Birthday Cake","Pretty in Pink Vintage Heart Birthday Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Pretty-in-Pink-Vintage-Heart-Birthday-Cake.jpg,Pretty-in-Pink-Vintage-Heart-Birthday-Cake.jpg
1778,"Purple Sweet 16 Princess Birthday Cake","Purple Sweet 16/Quinceanera Princess Birthday Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Purple-16-Princess-Birthday-Cake-scaled.jpg,Purple-16-Princess-Birthday-Cake-scaled.jpg
1779,"Quilted Emerald Wedding Cake","Quilted Emerald Wedding Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Quilted-Emerald-Wedding-Cake-scaled.jpg,Quilted-Emerald-Wedding-Cake-scaled.jpg
1780,"Rosette Pearl Drapes Wedding Cake","Rosette Pearl Drapes Wedding Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Rosette-Pearl-Drapes-Wedding-Cake-scaled.jpg,Rosette-Pearl-Drapes-Wedding-Cake-scaled.jpg
1781,"Simple Festive Birthday Cake","Simple Festive Religious Birthday Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Simple-Festive-Birthday-Cake.jpg,Simple-Festive-Birthday-Cake.jpg
1782,"Victorian Queen Wedding Cake","Victorian Queen Wedding Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Victorian-Queen-Wedding-Cake-scaled.jpg|https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Victorian-Queen-Wedding-Cake-scaled-1.png,Victorian-Queen-Wedding-Cake-scaled.jpg|Victorian-Queen-Wedding-Cake-scaled-1.png
1783,"Vintage Touch Religious Cake","Vintage Touch Religious Cake",,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2025/10/Vintage-Touch-Religious-Cake-scaled.jpg,Vintage-Touch-Religious-Cake-scaled.jpg
